Periodos,Valor
2006/01,35269867.41
2006/02,35201072.57
2006/03,35886036.92
2006/04,35796550.25
2006/05,36052577.35
2006/06,36114040.63
2006/07,36320168.8
2006/08,36530232.71
2006/09,36330323.33
2006/10,36289836.6
2006/11,36910241.36
2006/12,36963650.88
2007/01,37192728.31
2007/02,37181937.6
2007/03,37108837.29
2007/04,36874650.81
2007/05,36612794.48
2007/06,36337451.92
2007/07,36331245.23
2007/08,36992985.66
2007/09,37020106.05
2007/10,36912633.6
2007/11,37136129.44
2007/12,37236962.44
2008/01,37849032.74
2008/02,37282968.76
2008/03,35806673.77
2008/04,37065745.16
2008/05,36690548.65
2008/06,37190555.45
2008/07,36700618.92
2008/08,35632044.31
2008/09,34516866.58
2008/10,35117955.19
2008/11,34584936.82
2008/12,34877682.21
2009/01,34781907.86
2009/02,34907571.08
2009/03,34223467.39
2009/04,34256255.76
2009/05,34303487.24
2009/06,35091659.66
2009/07,34440601.41
2009/08,33399728.52
2009/09,32291760.96
2009/10,33005090.08
2009/11,32951873.85
2009/12,31957138.41
2010/01,33076572.89
2010/02,33144161.46
2010/03,33930652.26
2010/04,33936443.09
2010/05,34055017.54
2010/06,33609378.21
2010/07,33650391.89
2010/08,34292219.81
2010/09,34227910.93
2010/10,34781277.33
2010/11,34701157.77
2010/12,34500088.79
2011/01,34767364.49
2011/02,34452463.79
2011/03,34526889.1
2011/04,34466133.28
2011/05,34559385.91
2011/06,34999301.65
2011/07,34841022.27
2011/08,35287295.7
2011/09,35650938.44
2011/10,35842751.31
2011/11,35826564.11
2011/12,36048082.76
2012/01,35223279.44
2012/02,35423168.69
2012/03,35686912.46
2012/04,35997372.95
2012/05,36593367.21
2012/06,36696500.18
2012/07,36950366.14
2012/08,37048676.95
2012/09,37157822.77
2012/10,37097601.46
2012/11,36612190.27
2012/12,35611017.97
2013/01,34913380.99
2013/02,35280164.66
2013/03,35152697.64
2013/04,35409844.16
2013/05,34958564.51
2013/06,34845904.62
2013/07,34626072.98
2013/08,34315648.59
2013/09,33208782.94
2013/10,33909340.45
2013/11,34054179.28
2013/12,34720892.7
2014/01,34353932.29
2014/02,34570704.93
2014/03,34171832.36
2014/04,34391142.37
2014/05,34285505.13
2014/06,34185219.72
2014/07,33045960.85
2014/08,34406287.67
2014/09,34528445.13
2014/10,34575538.36
2014/11,35787925.88
2014/12,34645620.81
2015/01,34388739.22
2015/02,34168242.9
2015/03,34718070.34
2015/04,34060283.59
2015/05,34352007.13
2015/06,34370249.18
2015/07,34727811.87
2015/08,34526249.3
2015/09,35651825.8
2015/10,33735882.1
2015/11,33752346.98
2015/12,33794448.04
2016/01,33598307.66
2016/02,33592620.79
2016/03,33353533.45
2016/04,32801466.29
2016/05,33086749.84
2016/06,33086064.37
2016/07,32704197.29
2016/08,32581000.28
2016/09,32830857.26
2016/10,33168596.07
2016/11,33808432.55
2016/12,34514831.43
2017/01,33354984.9
2017/02,33289980.23
2017/03,32462596.94
2017/04,33134336.88
2017/05,32393009.06
2017/06,32042666.18
2017/07,32285474.89
2017/08,32551193.43
2017/09,32615575.56
2017/10,33168275.43
2017/11,32925137.36
2017/12,33692134.38
2018/01,32521807.03
2018/02,31709891.16
2018/03,32676784.07
2018/04,32151061.62
2018/05,33553088.24
2018/06,32620333.95
2018/07,31892698.48
2018/08,31680866.9
2018/09,31344323.11
2018/10,31005773.06
2018/11,30510444.49
2018/12,30750481.27
2019/01,31792011.27
2019/02,30768511.11
2019/03,30576924.77
2019/04,30160581.8
2019/05,29915364.22
2019/06,30373736.78
2019/07,29115158.2
2019/08,28466024.41
2019/09,27988806.05
2019/10,27581096.71
2019/11,27801599.45
2019/12,27557730.82
2020/01,27163926.79
2020/02,26899051.29
2020/03,26115217.73
2020/04,22911777.85
2020/05,21761234.94
2020/06,22158199.27
2020/07,22140998.91
2020/08,22296178.67
2020/09,22189579.2
2020/10,22844272.54
2020/11,22086477.42
2020/12,22237300.83
2021/01,22038424.48
2021/02,22668289.49
2021/03,23344902.14
2021/04,23142975.16
2021/05,23040401.94
2021/06,23182579.6
2021/07,23576804.9
2021/08,23760609.73
2021/09,24177764.09
2021/10,24010591.44
2021/11,24138392.21
2021/12,23784894.42
2022/01,24335498.33
2022/02,23907014.65
2022/03,24513147.1
